epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,99802.9,1.46609,1.09983,0.01173,0.76965,0.68325,0.76511,0.4556,0.95202,0.71153,0.0113,0.00294239,0.00294239,0.00294239
66,101325,1.44373,1.09389,0.01156,0.76959,0.68314,0.76493,0.45575,0.95153,0.71055,0.01128,0.00280275,0.00280275,0.00280275
67,102846,1.44473,1.08482,0.01161,0.75473,0.69943,0.76477,0.45602,0.95284,0.70508,0.01127,0.00266532,0.00266532,0.00266532
68,104366,1.43073,1.06294,0.01141,0.75162,0.69997,0.76494,0.45651,0.95074,0.70792,0.01124,0.00253024,0.00253024,0.00253024
69,105886,1.41435,1.06347,0.01134,0.75661,0.69575,0.76532,0.45621,0.94878,0.71042,0.01121,0.00239766,0.00239766,0.00239766
70,107407,1.43229,1.05788,0.01137,0.75459,0.69812,0.76388,0.45594,0.94852,0.70921,0.01123,0.00226769,0.00226769,0.00226769
71,108929,1.43058,1.0513,0.01132,0.75711,0.69863,0.76621,0.45626,0.95107,0.7038,0.01126,0.00214046,0.00214046,0.00214046
72,110449,1.40784,1.03618,0.01099,0.76027,0.69658,0.76584,0.4563,0.95107,0.70341,0.01128,0.00201611,0.00201611,0.00201611
73,111970,1.4158,1.03633,0.01114,0.75845,0.69464,0.76554,0.45627,0.95099,0.70341,0.0113,0.00189475,0.00189475,0.00189475
74,113491,1.39904,1.00571,0.01093,0.76375,0.69293,0.76582,0.45617,0.95133,0.70287,0.01132,0.00177651,0.00177651,0.00177651
75,115013,1.4014,0.99646,0.01098,0.7715,0.68672,0.76617,0.45619,0.95239,0.70038,0.01133,0.00166149,0.00166149,0.00166149
76,116541,1.38953,0.99104,0.01074,0.76389,0.69193,0.76698,0.45676,0.95411,0.69625,0.01135,0.00154982,0.00154982,0.00154982
77,118069,1.38294,1.00199,0.01077,0.75665,0.69771,0.76817,0.45773,0.95507,0.69394,0.01136,0.00144161,0.00144161,0.00144161
78,119598,1.38079,0.9691,0.0108,0.75613,0.70036,0.76873,0.45803,0.9534,0.69593,0.01133,0.00133695,0.00133695,0.00133695
79,121128,1.37644,0.99222,0.01064,0.76224,0.70004,0.77002,0.45888,0.9523,0.69668,0.01133,0.00123596,0.00123596,0.00123596
80,122657,1.36376,0.9794,0.01061,0.75549,0.71077,0.77078,0.45902,0.9527,0.69509,0.01132,0.00113873,0.00113873,0.00113873
81,124190,1.34776,0.95608,0.01045,0.75111,0.7121,0.77034,0.45926,0.95323,0.69328,0.01133,0.00104537,0.00104537,0.00104537
82,125760,1.35844,0.96292,0.01045,0.75547,0.71135,0.7713,0.45973,0.95334,0.69206,0.01133,0.000955951,0.000955951,0.000955951
83,127317,1.35712,0.93926,0.01049,0.75171,0.71483,0.77142,0.45982,0.9534,0.6913,0.01133,0.000870577,0.000870577,0.000870577
84,128981,1.33732,0.94367,0.01042,0.75276,0.71176,0.77125,0.46008,0.95369,0.69037,0.01133,0.000789327,0.000789327,0.000789327
85,130562,1.33577,0.92805,0.01025,0.75663,0.7102,0.77098,0.46042,0.95286,0.69189,0.01131,0.000712282,0.000712282,0.000712282
86,132134,1.34587,0.93092,0.01031,0.75139,0.71256,0.77111,0.4605,0.95355,0.69109,0.01131,0.000639518,0.000639518,0.000639518
87,133663,1.33706,0.92845,0.0103,0.75268,0.71062,0.77105,0.46049,0.95343,0.69119,0.01132,0.000571106,0.000571106,0.000571106
88,135175,1.33138,0.92891,0.01035,0.75543,0.70705,0.77097,0.46039,0.95243,0.69312,0.01129,0.000507115,0.000507115,0.000507115
89,136686,1.33308,0.9256,0.01018,0.76047,0.70064,0.77055,0.45987,0.95127,0.69391,0.01126,0.000447606,0.000447606,0.000447606
90,138197,1.3251,0.91995,0.01008,0.76036,0.70243,0.77082,0.45973,0.9505,0.69495,0.01125,0.00039264,0.00039264,0.00039264
